                           Nonce      #Sol.     Time/s
ef9be6b6538088baaa3a6b3331cce947          6   0.036736
b14da0405cfb121bf23e8b0d5ad57b9f          0   0.031599
e51f28fe29e0e7d0d37cbfd8fb3c21b5          0   0.035383
e75d66bfa41f030c0f6ed827eca7e863          4   0.032937
9cf6251214ffb2fa6e0a848a53a9c562          0   0.028188
fdb2fb12f6cafcf12164100778401127          0   0.030764
5fa5c66fdffabb193a1f3be1bfcf5f21          4   0.034970
b8f6fd5ad648def88fe1fdcc243d7545          3   0.036862
328e8bafb70bc84be6cde3336c0f2d7a          7   0.042553
e00316c965f03bd5e9a05cd8d7457233          3   0.038986
4237be98d3dfdf8c69de269295edf4ed          6   0.036883
d569b93181996904fe417b21960927d7          5   0.038884
583695e633335e1038304bc1cd891ad8         36   0.063954
0e8588b721405d0a4dd8070c368c4464          6   0.037166
266c25cf436dcb0d339e243a3a84e8b5          5   0.036031
22ad956743b93c3d7695af7fc3fe63f9          0   0.032243
4a044f9f93e5ba10e1652d9d70c46372          0   0.029661
673f3759ed9e45051d8cb58c0055509d          9   0.041981
0df5d33d5fd5f2e45c541c8fb7d2ed99          5   0.039052
3cd724d0d708d01e6e4a95bada9d6517          2   0.033280
468190ed65d9fda328a85828b40dc31c          0   0.033272
8f9842a0e625a7eae7bbdf449b9dd172          0   0.029113
57a3e627151cbdbf3e761d5206508920          1   0.030600
cd58f6f71d8c0721cb85ff9c01f83de7          3   0.034106
3b983b9b17d7a5944c8a5f86049edd01          1   0.026780
3c4be39069127fa70823a240a70d2980          1   0.030516
2556f7ba1298059b210506c0df951ff2          0   0.033249
f3009009b2ddd303959e16c97c6aeb4a          1   0.030903
6cf158e009dbda89343837ea9321cf04          1   0.030244
1ea277b056fd171d6f32b17699da9ff4          6   0.032530
b6b2e1fae5c364c6c00e8fe3acd080dd          4   0.034437
a93347ea53a681b83b444bb612f686b7          0   0.029060
8ca916667b37e08e059e692c47adef9a          1   0.029915
7b72f33aa0415946eda0851553c6ca8a          3   0.035785
ee469a95550e975931d8ea645d14189f          1   0.033365
575fb9592eafa3d755999fb10bc61b22         23   0.048045
ccea14561ad68dcb14b24a708d1a5937          4   0.033747
4e644da2f33f8daa89d99e29d5b504dd          4   0.034795
fcd4eb66f8e1c27572e4a6ce4a5cf68a          3   0.036023
b837a1f2e9a9b7b99f781f8a0843c6e6          1   0.030961
17c7dd07fcd13709baf0abdcc3dfd9d3          0   0.030067
a8044d9e52d35ffbd6a4274d39c9b1a4          5   0.043554
d0b7bfa9a8de6918595e818d4bda7abb          7   0.039332
b3cac87e92d949d2f51a73b8b8ccf233          5   0.040558
bf052562a07c7a0d915b4d6d53663899          2   0.031485
b16459503786d360b22f3f67c41b63d4          3   0.031652
131053bf7c177fc7b8aa21b113a06817          1   0.035334
4f9efd7926f7954c2745524a75d8cc70          3   0.038251
451431b665c4b6ef5c8a9187a3b9de9d          6   0.036530
d6846a05d0103c9844aa28a146d2b2fd          0   0.029172
af76ded850c99361ff4a72d1916c7e31          1   0.033604
2182d50c240a277686362ccfbabe6dba          3   0.032557
e54d5be7c1d5ac324a7ed0b17459d15f          0   0.028184
fe9511857ea1b1c294859e7897dceb04         10   0.042689
417b11160073ef997a955b6ee5f67781          4   0.037528
90d4e6cd0e65103b884cb06f750cc6d1          1   0.032515
4c4f609c186316efa479a66016527523          0   0.027557
d7769a672f84169634df020c1a8d4c5e          0   0.032573
