                           Nonce      #Sol.     Time/s
8f9e27e1a961e2a84d1d5bd9ebc45de3          1   1.708328
b0d90939e7726cd0fa2ff32d730cd9e4          2   1.575208
38e64926da79c1f3bae05a2e2a6d85fc         11   2.260711
5f25cc0ccdfaa7eb759c0b15ba7be7f4          0   1.409257
c8bc02d653adf259c5e7df547525e00f          3   1.549698
2074d2603cc65322a333a12e8fc0f337          2   1.443556
f754b428ec70db793beba76419987503          0   1.468521
ce05121cbcaf115e5689319f3f62639f          3   1.852296
3bc86173acd1a1ab0512c96c4bb91549          1   1.710352
c9c48962dfe3c2dad293039b30554980          1   1.664309
1ad31717bc53c6cf1a24853661c5fa70          2   1.738822
8e54da048296cce28d9b136c010f21e1          5   1.936862
a2ae58cefdcf42d2c31456ed1f2a289d          3   2.020791
fb6ea36d256e092ebb9e682b4cef703e          3   1.693622
dbed45df4e4b4eb53b9aea4d6461b82a          0   1.324785
04f3f0e0c49fba9b0dfce25278471f46          0   1.703370
07b386b87bf592a6ba3a4fc39fe4b105          4   2.076964
803dd132e4fb3ab0ea8bd93c9b1425d4          0   1.543303
1599deccd04eae78ac593a49ec05940e          4   2.103749
ed6e1773ab587850806698d797671a81          2   1.900638
2fee8006ae80973925365a336cfa14d7          5   1.875979
32061d465a70b604d9abcdb700e7057c          0   1.440140
72eebdf2193dcc0447a1e30fd45a6885          1   1.721365
0e094a3c918b9c22a31cba87ae316bc3          4   1.537692
68703056d5970d88a205aeb96404f6ec          1   1.527896
5398bb863eef0d6ded39eacfa2fa1d0a          0   1.709925
a8cb37fa76b15d778df3dc59a4817ba7          0   1.548377
08b1ad6a3db119edc6839160739fba84          5   2.062536
bb90515cbd45934772e27b8d6c647f26          3   1.536672
59434662f1f3e367c196beb665769a4c          1   1.756931
dfb08868461ed75fa9e918f971e06886          1   1.738639
395d8b9d9c2953a5342d9074214a97c4          0   1.481358
3190abb81c8a0e766e7d9840211bf8ea          0   1.393636
6ecb812619fba08555ec23d81cfa0b43          3   2.079228
e5ae0926a3bf8aa5775d7c6b9d1a134d          1   1.729790
381766a393fa1a413a0b691e62f03f37          3   1.895711
3eae00e40c4474f232317174782002c1          3   1.675173
f683e1f00dfb5a7b3fcb18c5d26fd2f1          7   2.130304
8a2b8df47b7aba0913a8578d5490d39a          7   2.275132
f76554ed99f634f968efe1486808ea0b          1   1.594299
51df9491516254452e3e625806c84d9b          8   1.952413
d8c9a3a2bb504e7bc76e700dac2986b6          0   1.490479
f715856fc79c02ce974e0551e712e41c          1   1.870617
c613dacbbc1ca989e6df7a9cef8b88dd          2   2.078560
0da219668ec8203cac45b69450ad38ab          2   1.747857
fa51f043d121c3bd702d7ecae5739044          0   1.941378
7a0a1afce8740d936ae435e042fe04ca          1   1.761105
f490090652d34f54b6acd693a65d9dd7          0   1.621883
2ccdf8727e6a3c935f2dce94ac20b462          1   1.672780
b02ce1a338e21bc135ca2284f3d97f68          2   1.760604
87f6b11498472a69f8b77f3e6e780869          3   1.916854
a55d7697a7f43d5fd352171ea79c49dc          0   1.519653
bd66a219d19e82175b06bce3c32f42b2          2   1.782163
ccf880f357a467471a82c6dcb9a82695          3   1.992483
cffde5691eec940da124d7369cdcd75f          1   1.755882
9b77ec18c0eafc8669a3f5326477c5a8          7   1.906778
5eba19cf596c98a7e87e083266a87381          0   1.724750
f3a384162c2153019d2e9ae5634b6a7f          2   1.870856
a5c92103c9a257f21e2dc25175aadb93          3   1.681592
464599539d9a60c99fa75a49f3c0deb6          0   1.936828
dc21ade07855ceda3e2f57e8fa9c9852          2   1.743270
85278f41d293fc44d273de84c117cfde          2   1.892991
578e11d89d857ca771cc945b4ce2c431          4   1.741222
850856e23287d460043db81704962e8e          1   1.772988
334fe8d06aba92515dc52619be617c07          4   1.881205
ea9e75725295a495b8f316b6fe9b215a          3   1.791442
34f28f582aa36d6811a1103ac424cee6          2   1.696165
7f3706ec6165c3c26f3852eaab161059          1   1.764397
c060fbebbc767a6bb0743230ba9305da          3   1.764605
ef9c0fcdd59e14b389cb8189c624d4f5          1   1.665273
2fe90f3c072c5879ac48efbf5fdd3567          9   2.175791
3a7e1660262bf9803a172529cb3d1942          7   2.043191
fa9ca2f22bb34cadfb9f7eca309adade          1   1.725822
04b9ab0007e4df4ff8fec850f0ffeb71          1   1.776180
c57631d2a62a65a4bbfc0689fe92e4c7          2   1.398642
69558725ff1c3cbc80e5d29d64fe45e4          3   1.826480
66caf86448b01bd0667e7a65f9c6a24f          1   1.586523
eaa407095f9e74c2411c65086629b9ca          6   2.040166
7edf5adefc57a4b250e744df95692754          2   1.705627
c0c35948c6bee15cdd2a4b128b82a727          2   1.526913
9a612a44d7cfcf6eed8a795f1c838469          2   1.670891
b5d5e15598f0382d349825b67d28b37f          4   1.849260
6399778f07740b88fd4ddf02b0a82564          4   1.758451
0f31524e0093f71291ea57500c60c047          2   1.874732
1b733ba0017006295f667316298ab24f          1   1.760643
b33c6ca24cbf57acfc42d8d994f632a0          0   1.874045
0973c9f14bb1a8d3861ceb22853017d2          5   2.068222
fa1769bf3ca68066d07e3d8094e88990          1   1.740710
943fc12ec69e90cb7c48f52536c48e1e          2   1.664029
e97b4d583dab809946e0f58b013d158b          1   1.823889
83f123bca8b28bc684f8255b5b61d0ee          1   1.670778
584b30a71257e89694fcf453643c4d5a          2   1.826540
ccda550dac596ecb7c23e36ff5fc9b55          7   2.406959
4d5844dcb4dbc4624655b50bf28cf4b8          1   1.605568
51eddf0e1e31f860e01a13f1d36bfb86          4   1.604296
688f8f5259867d532d8c5a0edd01b9d9          6   2.091623
db751a3b619411c6dd0cecd66c0f3710          2   1.805803
3cf95b74c49972cfaba8168058fe53ea          0   1.517241
9cac83c997919159e2af446e7386a23e          5   1.929335
80a09dae58779cbbe21034b4d144d3f4          3   1.761609
12de12087454e717bc0112743ccb10a3          6   1.820460
5ba1e92f247412928ecd14f3eeab81e4          1   1.598818
c846f239fafd8299c4f9d40e66fd19d1          6   1.857616
146818d146b95c924f1bb4b344ed77c9          3   1.696104
27c1186cc327cca2c3c943c7004b1a1a          9   2.148216
a2fcddc5746f947bb99afb56a910bc2c          0   1.468505
cbecf3cae77b7ec0619514991ae598d1          0   1.420020
1c898d2e3373c53bd76700c236e39fda          2   1.636556
5affcd987d94521453724208a3ae2343          6   1.977854
cad008ea2b6230584044a94210654ba0          1   1.652381
8c7b47a318565fd424edc23cf61042e3          1   1.709720
2f25769bf0dc08a21a341a943a3428fc          8   1.872788
00b6ed037dd0f6ea872d33bf0265d3a3          1   1.745997
c8707deb844b7efb5f40fff1def27bd3          6   1.734951
4cb91fe4c2080a1921a2a99b204e8be4          4   1.731209
d480743431f0dea256555b7a521b99ed          4   2.101536
cd483884ad0330b7b46b74c66d79f2c2          4   2.040221
e91aa45691559fdfeb5994c35b6e4dbf          5   1.904828
335eeb51dbdd5e98777ec96cb04cd6ee          0   1.535522
1918b98335b0455e515bec03094c188a          8   2.296116
b8d502e95ecc77c82ead9b8f562c27ad          1   1.952442
50b1c574ed3264e5fb0be0d4c71e9583          2   1.638153
ccbbf1c46ef2b51ed8799fc2be854aa4          0   1.761185
705a2270562d0d1378094b350597799b          1   1.443704
9a9dcdd2b4e7d2a01d6d6d9347395d5e          2   1.574754
02fb311152292ff4cdeb1a940b30497b          1   1.886862
89cd876e0205caadc7b6eb91f2b96186          4   1.914299
6001ef9d639c2dcddfae6b22c98fd8c0          2   1.973158
abb30a58ff2a7870936274f651814f31          2   1.963279
a062f3a5459e3c5bdbe62a295b2967ed          3   1.788821
f10d48a788c6ed97b43c0d6623d15c98          2   1.607282
6007082df9d2c2ff2bc5140ae822125e          7   2.102587
a77f5b40a70560eb0594855718ec3872          1   1.969738
b5799a15a58126708275ccd460036a7f          4   1.731473
5702022501fc36da4a685d8d81e54c0f          6   1.867859
7364c72a8913dd99033c14f8e4a6dd10         28   2.879830
8cbeb15343992840378ce8a9ede71eae          3   1.898535
c3916a6f24fd894a9b3acad43801c588          1   1.590608
eed523b66de13a0af2c5f9a2c9c252de          1   1.568930
2a50f0cec8b52ee4d2261b94d20f218e          1   1.620810
c7db337344ebb5e32f124b2c3a625f81          2   1.888548
e3fa7963ba52f38067d7d6afb3d121ac          8   2.372427
01f01d0aaed250a121a90b17ea0b9f12          2   1.880999
0c90de845c4ce52e157760c48f2cdb13          7   2.087766
d188c0b34be3f2121af77632fe90ca32          3   1.697069
76f1f1427757b0d4e4b30bfe635da4e2          7   2.149956
4d38e0f9cbd7462d86b6a8c2ea17f630          7   2.090727
59226b2b788eb5b7efecfe62f9cf69b0          3   2.036448
